id,name,url,calories per 100 grams,teaspoon,tablespoon,cup,slice,single
7290001113585,קבוקים,https://images.openfoodfacts.org/images/products/729/000/111/3585/front_he.19.400.jpg,484.8,,,,,100
7290001121054,סלמי כפרי מעושן,,153,,,,,100
7290001121115,נקניק יבש,,322,,,,25,
7290001247105,ספרינג נקטר אפרסק,https://images.openfoodfacts.org/images/products/729/000/124/7105/front_fr.14.400.jpg,40,,,,,100
7290001258255,גאודה,https://images.openfoodfacts.org/images/products/729/000/125/8255/front_en.4.400.jpg,356,,,,,100
7290001258552,לאבנה 5% מחלב בקר,,105,,,,,100
7290001258958,מוצרלה 24%,https://images.openfoodfacts.org/images/products/729/000/125/8958/front_he.3.400.jpg,320,,,,,100
7290001361207,פיתוי אוכמניות,https://images.openfoodfacts.org/images/products/729/000/136/1207/front_he.3.400.jpg,286,,,,,100
7290001485019,גבינה במרקם שמנת 5%,https://images.openfoodfacts.org/images/products/729/000/148/5019/front_en.3.400.jpg,101,5,15,200,,
7290001485859,קוטג,,97,5,15,200,,
7290001499634,צוואר מעושן,,208,,,,,100
7290001567760,פסטרמה של פעם,,114,,,,25,
7290001820520,שמרי בירה,,335,,,240,,
7290002037637,לחמנית הבית של ודש,,297,,,,,100
7290002057628,זיתים שחורים טבעות,,167,,,,,100
7290002065555,הלחמניה,https://images.openfoodfacts.org/images/products/729/000/206/5555/front_he.3.400.jpg,262,,,,,100
7290002111818,גרעיני תירס מתוק,,70,,,,,100
7290002130567,דבש טהור מפרחי בר,https://images.openfoodfacts.org/images/products/729/000/213/0567/front_he.7.400.jpg,320,6,20,340,,
7290002211518,קמח חיטה לבן מנופה,,353,,8,80,,
7290002232964,ציפוי פז טחון דק לא מתובל,,387,,,,,100
7290002366928,חלבון ווניל,https://images.openfoodfacts.org/images/products/729/000/236/6928/front_he.10.400.jpg,409.0909091,,8,80,,
7290002507741,טונה במים,,94,,,240,,
7290002533795,נשנושי פיצה שגב,https://images.openfoodfacts.org/images/products/729/000/253/3795/front_he.3.400.jpg,260,,,,,100
7290002757535,בורקס פילו גבינה,,283,5,15,200,,
7290002757689,אמפנדס במילוי בשר,,197,,,,,100
7290002787891,מקלות בורקס פילו תרד,,297,,,,,100
7290002824640,סקי 5%,https://images.openfoodfacts.org/images/products/729/000/282/4640/front_he.10.400.jpg,96,,,,,100
7290002827306,נקניקיות עוף,,169,,,,25,
7290002842293,Minerva סרדינים בשמן חמניות חריף,,254.7619048,5,15,240,,
7290002954477,אורז עגול,,147,,8,80,,
7290002971993,קמח כוסמין מלא,,362,,8,80,,
7290002986218,עוגיות יין חצי מצופות,https://images.openfoodfacts.org/images/products/729/000/298/6218/front_en.4.400.jpg,468,,,,,40
7290002994350,חלה פרוסה מעודנת,https://images.openfoodfacts.org/images/products/729/000/299/4350/front_he.4.400.jpg,258,,,,25,
7290003009640,סחוט תפוזים קלאסי,https://images.openfoodfacts.org/images/products/729/000/300/9640/front_fr.4.400.jpg,39,,,,,100
7290003031702,נקניקיות Hot Dog,,252,,,,25,
7290003035717,לוף בשר,,225,,,,,100
7290003107216,קמח לבן,https://images.openfoodfacts.org/images/products/729/000/310/7216/front_he.9.400.jpg,347,,8,80,,
7290003143337,סילאן 100% תמרים טבעיים,https://images.openfoodfacts.org/images/products/729/000/314/3337/front_fr.3.400.jpg,304,,,,,100
7290003224609,כיסונים Pelmeni,,187,,,,,100
7290003287253,נקניקיות מרגז,,250,,,,25,
7290003318100,ופלים במילוי קרם בטעם שוקולד,,510,6,20,340,,
7290003478132,פלפל צומה,,203,,,,,100
7290003485031,בורגול עבה,,365,,,,,100
7290003485147,אורז יסמין,,123,,8,80,,
7290003485406,עדשים ירוקות,,349,,,,,100
7290003681051,פקאן מסוכר,https://images.openfoodfacts.org/images/products/729/000/368/1051/front_he.3.400.jpg,652,,,,,100
7290003781652,צלפים במי מלח,,29,,,,,100
7290003804368,Knorr בזיליקום,https://images.openfoodfacts.org/images/products/729/000/380/4368/front_he.3.400.jpg,444.4444444,,,,,100
7290004030445,מיץ תפוזים סחוט טבעי 100%,,43,,,240,,
7290004033514,לחמניות ביס בסגנון בריוש,,512,,,,,100
7290004050986,או בייקון העישון קר,,381,,,,,100
7290004051365,קרפצ'יו עגל העישון קר,,171,,,,,100
7290004053192,נקניקיות עם עגל,,195,,,,25,
7290004067014,חרוסת לליל הסדר,,306,,,,,100
7290004122348,מופחתת שומן 9%,https://images.openfoodfacts.org/images/products/729/000/412/2348/front_en.4.400.jpg,201,,,,,100
7290004125578,משקה סויה מועשר אלטרנטיב,https://images.openfoodfacts.org/images/products/729/000/412/5578/front_he.9.400.jpg,46,,,240,,
7290004125776,עמק קלאסית,https://images.openfoodfacts.org/images/products/729/000/412/5776/front_en.3.400.jpg,344,,,,25,
7290004126803,גבינה לבנה 2 קילו,,98,5,15,200,,
7290004127329,קוטג' 5%,https://images.openfoodfacts.org/images/products/729/000/412/7329/front_en.30.400.jpg,95,5,15,200,,
7290004127800,גבינה לבנה 5%,https://images.openfoodfacts.org/images/products/729/000/412/7800/front_he.3.400.jpg,98,5,15,200,,
7290004129118,גבינת שמנת עם זיתים ירוקים,https://images.openfoodfacts.org/images/products/729/000/412/9118/front_he.4.400.jpg,237,,,,,100
7290004131074,חלב טרי 3%,https://images.openfoodfacts.org/images/products/729/000/413/1074/front_en.49.400.jpg,60,,,,,100
7290004137021,שמנת לבישול 10,,125,,,,,100
7290004137311,גבינה עמק 9%,,201,,,,25,
7290004324605,גבינה מותכת למריחה מופחתת שומן בטעם גבינה כחולה,,156,5,15,200,,
7290004339999,שניצלונים,,222,,,,,100
7290004584306,גמדים תות,,102,,,,,100
7290005079801,גבינה שמנת עם זיתים 2 קילו,,257,5,15,200,,
7290005168420,מיץ ענבים,https://images.openfoodfacts.org/images/products/729/000/516/8420/front_he.3.400.jpg,76,,,240,,
7290005270000,עלה בריקה,https://images.openfoodfacts.org/images/products/729/000/527/0000/front_he.3.400.jpg,254,,,,,100
7290005278143,משקה פירות תמר בננה,,59,,,240,,
7290005287251,טונה בהירה במים,https://images.openfoodfacts.org/images/products/729/000/528/7251/front_en.5.400.jpg,104,,,240,,
7290005317545,פתיבר,,434,,,,,100
7290005318153,לאבנה אלהנא,,81,,,,,100
7290005992735,לאבנה גבינה 5% שומן,,87,5,15,200,,
7290005996498,סלמי קהה,,215,,,,,100
7290006282224,כריך סלט טונה כשר לפסח,https://images.openfoodfacts.org/images/products/729/000/628/2224/front_he.3.400.jpg,214,5,15,200,,
7290006567048,פתיתי קוסקוס לפני בישול,,362,,,,,100
7290006666307,סלט חומוס אמיתי,https://images.openfoodfacts.org/images/products/729/000/666/6307/front_en.3.400.jpg,266,5,15,200,,
7290006666451,סלט עגבניות סלסה,,49,5,15,200,,
7290006739421,פסטרמה סלמי סגנון איטלקי,,249,,,,25,
7290006764478,נדר מאלט,https://images.openfoodfacts.org/images/products/729/000/676/4478/front_yi.4.400.jpg,28,,,,,100
7290006804877,פיתה ביס,,229,,,,,100
7290006804907,פיתה אסלית,,229,,,,,100
7290006809827,מעדן פרי פירות יער,,240,5,15,200,,
7290006991294,מוזלי יוגורט עם פירות גרנולה וסילאן,https://images.openfoodfacts.org/images/products/729/000/699/1294/front_he.3.400.jpg,98,,8,80,,
7290008343619,פסטל תפוח אדמה,,175,,,,,100
7290008343626,כדורי פלאפל,,258,,,,,100
7290008737036,קציצות דגים געפילטע פיש,,83,,,,,100
7290008745239,תפוצ׳יפס בטעם טבעי,https://images.openfoodfacts.org/images/products/729/000/874/5239/front_en.4.400.jpg,548,,,,,40
7290008753111,תפוצ׳יפס קראנצ׳מקסיקני,https://images.openfoodfacts.org/images/products/729/000/875/3111/front_fr.3.400.jpg,538,,,,,40
7290008849609,רוטב שום ודבש,,177,5,15,240,,
7290010018901,בוטנים מטוגנים,,642,6,20,340,,
7290010151110,דבש פרחי בר,,310,6,20,340,,
7290010154265,פלפל צומה,,599,,,,,100
7290010175819,חמאת בוטנים,,623,6,20,340,,
7290010193486,‏חזה הודו מעושן דל שומן,,95,,,,,100
7290010328710,קצפיות מרנג 8 קל׳ ליחידה,,344,,,,,100
7290010429554,שמן זית כתית מעולה,,828,5,15,240,,
7290010777358,100% כוסמין מלא,https://images.openfoodfacts.org/images/products/729/001/077/7358/front_en.3.400.jpg,198,,,,,100
7290010777471,מיני פיתה עננים,https://images.openfoodfacts.org/images/products/729/001/077/7471/front_he.3.400.jpg,227,,,,,100
7290010922413,המבורגר אורגני,,249,,,,,100
7290011081690,גלידה,,218,,,,,100
7290011142049,לחם עם סובין,https://images.openfoodfacts.org/images/products/729/001/114/2049/front_he.3.400.jpg,251,,,,25,
7290011142070,לחן שיפון אשדודי,,284,,,,,100
7290011142384,לחם מלא אמיתי נורווגי,https://images.openfoodfacts.org/images/products/729/001/114/2384/front_en.3.400.jpg,244,,,,25,
7290011142438,לחמניית ביד בורגר,,291,,,,,100
7290011165857,עוגיות קוקוס,,447,,,,,40
7290011242190,כוסמת,,349,,,,,100
7290011473495,פתיתי בירה,https://images.openfoodfacts.org/images/products/729/001/147/3495/front_he.3.400.jpg,380,,,240,,
7290011473617,זרעי צ'יה,https://images.openfoodfacts.org/images/products/729/001/147/3617/front_en.4.400.jpg,483,,,,,100
7290011473907,סובין חיטה,,216,,,,,100
7290011473921,סובין שיבולת שועל,,305,,8,80,,
7290011474478,זרעי צ'יה,,486,,,,,100
7290011499419,גבינה במרקם שמנת,https://images.openfoodfacts.org/images/products/729/001/149/9419/front_he.10.400.jpg,300,5,15,200,,
7290011585723,פלמני ביתי במילוי עוף,,201,,,,,100
7290011723255,טחינה משומשום מלא,,631,5,15,200,,
7290011876609,שניצל פסח,,244,,,,,100
7290011876821,אצבעות שניצל,https://images.openfoodfacts.org/images/products/729/001/187/6821/front_he.3.400.jpg,231,,,,,100
7290012177279,שמן זית,,837,5,15,240,,
7290012226939,קבנוס עם צ'ילי חריף,https://images.openfoodfacts.org/images/products/729/001/222/6939/front_he.3.400.jpg,337,,,,,100
7290012227615,נקניקיות עוף,,227,,,,25,
7290012245183,צ׳יפס קריספי,,153,,,,,40
7290012901959,ארוחת פסטה מסולסלים עם רוטב גבינה,,178,5,15,240,,
7290013010001,עגבניות קצוצות ברסק עגבניות,,36,,,,,100
7290013116116,פריכיות מיני אורז מלא,,385,,8,80,,
7290013144232,פודינג בטעם וניל,https://images.openfoodfacts.org/images/products/729/001/314/4232/front_yi.3.400.jpg,378,,,,,100
7290013144768,Chocolate flavored Syrup סירופ בטעם שוקולד,https://images.openfoodfacts.org/images/products/729/001/314/4768/front_he.9.400.jpg,279,,,,,100
7290013156822,עוגיות רייף,,340,,,,,40
7290013186669,פרוסות צ'דר אדום,,416,,,,,100
7290013220929,אוכמניות כחולות קפואות,,57,,,,,100
7290013358363,פירורי לחם פנקו,,344,,,,25,
7290013520463,לחם כוסמין מלא,https://images.openfoodfacts.org/images/products/729/001/352/0463/front_he.3.400.jpg,100,,,,25,
7290013541369,בוטנים קלויים,https://images.openfoodfacts.org/images/products/729/001/354/1369/front_en.3.400.jpg,585,6,20,340,,
7290013645104,פיתות ללא גלוטן,,271,,,,,100
7290013847645,טונה בשמן זית,https://images.openfoodfacts.org/images/products/729/001/384/7645/front_en.3.400.jpg,213,5,15,240,,
7290013937124,סורבה קוקוס,,131.25,,,,,100
7290013937391,סורבה קוקוס קפה,,127.5,,,,,100
7290013985002,בורקס גבינה,,372,5,15,200,,
7290014021730,חטיף תות קראנצ'י,,391,,,,,40
7290014094840,צימוקים כהים,,288,,,,,100
7290014369962,גלידה חלבון בייגלה מלוח,,244,,8,80,,
7290014525290,קריספי תות שדה,,400,,,,,100
7290014692565,גרעיני תירס מתוק,,95,,,,,100
7290014758131,יוגורט תנובה BIO 1.5%,,56,5,15,200,,
7290014758544,חמאה,https://images.openfoodfacts.org/images/products/729/001/475/8544/front_en.3.400.jpg,734,6,20,340,,
7290014760448,Cheese (גלבוע 22%),https://images.openfoodfacts.org/images/products/729/001/476/0448/front_en.7.400.jpg,298,,,,,100
7290014762800,מעדן סויה שוקולד,https://images.openfoodfacts.org/images/products/729/001/476/2800/front_he.7.400.jpg,96,5,15,200,,
7290014785564,אטריות אודון,,122.7,,,,,100
7290014785991,רוטב סויה ללא גלוטן,,30,5,15,240,,
7290014889118,יוגורט עיזים,,64,5,15,200,,
7290014961258,סנדוויץ' דאבל פסטרמה וחזה בקר,https://images.openfoodfacts.org/images/products/729/001/496/1258/front_en.3.400.jpg,224,,,,25,
7290015130332,חטיף חלבון,,332,,8,80,,
7290015172202,גיוזה ירקות אדממה,,238,,,,,100
7290015597937,קלידה וניל קלאסי בקונוס,https://images.openfoodfacts.org/images/products/729/001/559/7937/front_he.8.400.jpg,304.2857143,,,,,100
7290015603188,אטריות ביצים,,372,,,,,100
7290015616461,פסטה אורגנית בשלושה צבעים,,178,,8,80,,
7290015673211,טחון מהצומח,,95,,,,,100
7290015681186,שניצל עוף אמיתי עם שומשום,,216,,,,,100
7290015856720,חטיף אפונה בתיבול זעתר,https://images.openfoodfacts.org/images/products/729/001/585/6720/front_en.6.400.jpg,394,,,,,40
7290015858113,ממרח עגבניות מיובשות,,375,6,20,340,,
7290015858229,טפנד זיתי קלמטה,https://images.openfoodfacts.org/images/products/729/001/585/8229/front_en.4.400.jpg,403,,,,,100
7290015879729,תערובת איטלקית לאפייה על בסיס עמילן חיטה,,332,,,,,100
7290015950008,פיתה ישראלית,https://images.openfoodfacts.org/images/products/729/001/595/0008/front_he.3.400.jpg,234,,,,,100
7290016083866,מאפה ביס כשלפ,,223,,,,,100
7290016096644,נתחי טונה בהירה במי מלח,,98,,,,,40
7290016136739,פסטה על בסיס קמח תירס וקמח אורז (מבושל),https://images.openfoodfacts.org/images/products/729/001/613/6739/front_he.3.400.jpg,188,,8,80,,
7290016233995,דג אנשובי שמן זית,,203,5,15,240,,
7290016273601,דבש מפרחי בר,,332,6,20,340,,
7290016302042,לחניית פרנה,,277,,,,,100
7290016306217,גלידת בראוני שוקולד ואגוזי לוז,,272.1,,,,,100
7290016314847,סלמון מעושן,,173,,,,,100
7290016438895,אבקת מאקה נא אורגנית,,343,,8,80,,
7290016475067,לאפה,,244,,,,,100
7290016682489,משקה תות בננה חלבון,,45,,,240,,
7290016818642,רביולי פטריות,,238,,,,,100
7290016865899,קינואה,,385,,,,,100
7290016867299,לחמניות כוסמין,,216,,,,,100
7290017065137,ריקוטה למריחה,https://images.openfoodfacts.org/images/products/729/001/706/5137/front_he.4.400.jpg,87,,,,,100
7290017065168,גבינה כחולה,https://images.openfoodfacts.org/images/products/729/001/706/5168/front_he.3.400.jpg,353,5,15,200,,
7290017065618,Pecorino Slices פרוסות פקורינו,,431,,,,,100
7290017232249,לחמניית המבורגר מל בסיס קמחי שקדים וזרעים,https://images.openfoodfacts.org/images/products/729/001/723/2249/front_en.3.400.jpg,254,,8,80,,
7290017266732,ופל קראנץ׳ במילוי קרם בטעם שוקולד,,516.6666667,6,20,340,,
7290017275963,אוזני המן שוקולד,,486,,,,,100
7290017396217,מחמצת דגנים,,245,,,,,100
7290017456041,באן מאפה מאודה,,267,,,,,100
7290017485188,טופו אורגני במרקם רך,,131,,,,,100
7290017617831,טונה,https://images.openfoodfacts.org/images/products/729/001/761/7831/front_he.3.400.jpg,194,,,,,40
7290017617855,טונה במי מלח,,100,,,,,40
7290017752648,איטריות ביצים להקפצה,,372,,,,,100
7290017894263,קטשופ אורגני,,103,5,15,240,,
7290017894898,חמאת בוטנים קראנצית,,625,6,20,340,,
7290017924519,כרם Peanut Butter,,687,,,,,100
7290017928487,בייגלה,,346,,,,,40
7290017928616,בייגלה שומשום,,396,,,,,40
7290017928968,בייגלה שטוחים,,398,,,,,40
7290018131879,טילון ריבת חלב,,310,,,,,100
7290018131893,גלידה פקאן מיני,,327.7777778,,,,,100
7290018195192,טורטיה מזונות Tortilla,https://images.openfoodfacts.org/images/products/729/001/819/5192/front_he.3.400.jpg,308,,,,,100
7290018198810,ציפס תפוגן,https://images.openfoodfacts.org/images/products/729/001/819/8810/front_he.3.400.jpg,145,,,,,100
7290018208168,תמרים קפואים,,140,,,,,100
7290018296066,לחם שיפון 100%,https://images.openfoodfacts.org/images/products/729/001/829/6066/front_he.3.400.jpg,244.4444444,,,,25,
7290018296615,פיתה ביס כוסמין,,211.1111111,,,,,100
7290018400173,ברוקולי וכרובית מוקפאים,https://images.openfoodfacts.org/images/products/729/001/840/0173/front_he.3.400.jpg,22,,,,,100
7290018441541,גלידת בננה אגוזים,,264,,,,,100
7290018500644,פיתה פיתה כוסמין לבן,,236,,,,,100
7290018527801,פיתה,https://images.openfoodfacts.org/images/products/729/001/852/7801/front_he.6.400.jpg,235,,,,,100
7290018540824,מחמצת כפרי,,242,,,,,100
7290018554821,גרעיני תירס מתוק,,64,,,,,100
7290018622346,סילאן אורגני,,270,,,,,100
7290018677766,ארוחת שיבולת שועל ומחית שקדים עם תפוח,,65,,8,80,,
7290018720219,פצפוצי אורז ללא תוספת סוכר,,357,,8,80,,
7290018752272,גרנולה שקד קרמלי,https://images.openfoodfacts.org/images/products/729/001/875/2272/front_he.3.400.jpg,488,,8,80,,
7290018752951,כדור חלבון,,455,,8,80,,
7290018757222,בורגר פטריות,,98,,,,,100
7290018790748,קרקר עם דגנים מלאים,,473,,,,,100
7290018795842,שיני שום קלופות,,166,,,,,100
7290018832097,שמן זית כתית מעולה,,822,5,15,240,,
7290018989081,חומוס הבית גרגירי חומוס מושרים ומבושלים (לא מסונן),https://images.openfoodfacts.org/images/products/729/001/898/9081/front_he.3.400.jpg,88,5,15,200,,
7290019056324,שוופס טוניק,https://images.openfoodfacts.org/images/products/729/001/905/6324/front_en.16.400.jpg,35,,,,,100
7290019056584,מיץ תפוזים,,40,,,240,,
7290019056607,משקה תפוחים,,40,,,240,,
7290019056676,אשכוליות אננס דל קלוריות,https://images.openfoodfacts.org/images/products/729/001/905/6676/front_he.3.400.jpg,10,,,,,100
7290019203407,טוסט נקניק פסטרמה הודו,,277,,,,25,
7290019205043,פסטרמה מהמעשנה,,99,,,,25,
7290019293408,גלידת פיסטוק,,230,,,,,100
7290019293910,ארטיק קרמל,,348.3870968,,,,,100
7290019308577,תות שדה קפוא,,32,,,,,100
7290019310341,חלבון מי גבינה בטעם אייס קפה,,387.8787879,,8,80,,
7290019310686,Extra Soft שוקולד לבן בוטנים קרמל,https://images.openfoodfacts.org/images/products/729/001/931/0686/front_he.4.400.jpg,383.6363636,6,20,340,,
7290019393146,עלי טורטיה,,313,,,,,100
7290019431534,אבקת חלבון סויה,,360,,8,80,,
7290019545927,שוקולד חלב,,540,,,,,100
7290019603139,חטיף תפוח אדמה בטעם שמנת בצל,,473,,,,,40
7290019635116,גבינה במרקם שמנת עם זיתים,https://images.openfoodfacts.org/images/products/729/001/963/5116/front_he.4.400.jpg,96,5,15,200,,
7290019635215,ברי,,372,,,,,100
7290019635499,פקורינו איטליאנו,,400,,,,,100
7290019635598,לאבנה סחוג,https://images.openfoodfacts.org/images/products/729/001/963/5598/front_he.3.400.jpg,101,,,,,100
7290019635826,פטה מעודנת 5%,,117,,,,,100
7290019635840,יוגורט יווני חלבון,,117,,8,80,,
7290019635871,פרוסות קאשקבל,,332,,,,,100
7290019766094,Whey Protein בטעם שוקולד חלב אגוזי לוז,,384.8484848,,,,,100
7290019766452,חטיף חלבון טבעוני בטעם קרמל מלוח,,380,,8,80,,
7290019766469,חלבון מי גבינה בטעם שוקולד,,372.7272727,,8,80,,
7290019790105,שמנת להקצפה,,245,,,,,100
7290019790259,חלב 4%,https://images.openfoodfacts.org/images/products/729/001/979/0259/front_he.6.400.jpg,69,,,,,100
7290019816799,קררנץ סנוויץ,,298,,,,,100
7290019816935,טילון קינמון,,321.7391304,,,,,100
7290019894582,פסטה פוזילי מחיטת דורום,,351,,8,80,,
7290019894872,קורנפלקס יוחננוף,,114,,8,80,,
7290019926245,תבשיל אטריות,https://images.openfoodfacts.org/images/products/729/001/992/6245/front_he.3.400.jpg,366,,,,,100
7290019926320,ריבת תות,,172,,,,,100
7290019926757,פריכיות אורז מלא בציפוי בטעם שוקולד,,470,,8,80,,
7290019936190,גבינה צהובה,,347,,,,25,
7290019947103,פאו דה קז׳ו שום ועשבי טיבול,https://images.openfoodfacts.org/images/products/729/001/994/7103/front_he.3.400.jpg,240,,,,,100
7290019961062,שעועית צהובה חתוכה,,28,,,,25,
7290020017031,סרדינים,,232,,,,,100
7290020020901,תערובת חלבון מלא,,382,,8,80,,
7290020215222,סופר טופו,,175,,,,,100
7290020216311,פיתה PRO,,201,,,,,100
7290020216953,אנג'ל לחם פרו,https://images.openfoodfacts.org/images/products/729/002/021/6953/front_en.12.400.jpg,220,,,,25,
